,City_Name,Country_Code,Latitude,Longititude,Temprature,Humidity,cloudiness,wind_speed
0,saint-philippe,re,-56.22153001922606,66.7356279766833,76.82,65,20,23.04
1,dukuhturi,id,-6.8360016379246815,108.84720423122047,87.12,64,69,6.13
2,nuuk,gl,65.34008001362284,-50.845383228477345,30.09,86,89,4.7
3,new norfolk,au,-67.25257319447704,128.16885850719575,57.18,63,40,11.41
4,hermanus,za,-82.30995769909745,9.655244554113267,63.0,76,2,8.01
5,victoria,sc,-8.394097275574651,63.90948606865527,86.0,74,40,11.41
6,hilo,us,9.694529600912517,-141.24868085057696,71.8,78,1,2.66
7,khatanga,ru,80.36711057554072,107.01575710765678,13.53,95,84,10.98
8,rikitea,pf,-64.91152948027515,-119.55865893009256,74.07,73,81,2.55
9,ushuaia,ar,-81.08053084220889,-65.61034551630745,46.4,61,75,3.36
10,lagoa,pt,46.23287511232621,-33.66970517312228,62.56,70,81,13.91
11,vila velha,br,-28.50269525812824,-24.874407900334347,73.18,94,90,2.24
12,iwanai,jp,43.01826319853339,139.3637650580751,62.91,69,33,7.76
13,alofi,nu,-25.02075170256751,-169.51665413607833,75.2,94,92,14.99
14,tuktoyaktuk,ca,86.9714161291511,-136.23754567420062,19.4,85,90,11.41
15,cape town,za,-59.04552315438893,-4.950902116101645,63.3,77,0,9.17
16,georgetown,sh,-19.17719053925819,-22.878274434734692,73.17,82,99,14.97
17,brae,gb,67.54000169371699,-1.3784017519346037,44.6,70,75,17.22
18,shimoda,jp,28.21045552211652,140.75239129623623,66.85,73,75,11.41
19,cabo san lucas,mx,10.817547438636765,-123.96291875682306,80.51,71,0,9.78
20,narsaq,gl,74.76364910593799,-66.86179069729081,26.6,68,70,3.36
21,port alfred,za,-89.74533709943208,43.93957018445926,69.35,64,0,7.07
22,nouakchott,mr,18.136346605060865,-18.151784439052392,75.2,73,0,14.99
23,atuona,pf,1.127785775706684,-143.43579702688544,77.9,74,4,15.55
24,palekh,ru,56.800803701355335,41.91601862458364,33.37,94,51,3.24
25,christchurch,nz,-49.582339497250175,178.75105699007804,53.46,81,78,12.75
26,tiksi,ru,85.43637173619504,132.80839355907023,12.94,94,100,5.61
27,idritsa,ru,56.107509321707965,28.9079754720878,45.63,94,100,10.69
28,moyale,et,4.29295316762699,39.114105256097076,71.04,76,93,12.48
29,rabo de peixe,pt,45.86932655359237,-21.049214173239562,59.0,77,40,9.17
30,kazachinskoye,ru,57.5907059484843,93.70025739956327,51.71,58,99,6.31
31,gamba,ga,-5.352698460495276,5.399016907088054,75.04,93,100,6.51
32,avarua,ck,-43.83427974677298,-166.80542555833082,75.2,83,100,6.93
33,hobart,au,-50.8185233493274,146.9454544512559,57.04,63,40,11.41
34,kapaa,us,24.75977917532491,-173.2931712042293,73.87,78,75,4.7
35,saint george,bm,30.17331747237496,-51.99488976317875,77.99,83,75,24.16
36,iqaluit,ca,64.75284627718702,-67.60115185275515,32.0,93,90,2.37
37,arlit,ne,22.468354760507694,5.068182114255734,81.93,15,0,5.84
38,ribeira grande,pt,28.87280380504906,-33.658343310236916,63.72,66,93,14.88
39,thompson,ca,62.11375233936235,-94.06532236090558,23.0,92,90,3.36
40,charlottetown,ca,46.76351347579333,-62.99514753962738,61.14,93,90,16.11
41,mar del plata,ar,-56.715358070446484,-34.45292166257542,54.0,69,70,15.99
42,vaini,to,-86.08547148964904,-169.83606100548354,73.4,78,90,8.05
43,sinnamary,gf,19.45622766955215,-43.66836957407344,79.14,84,45,9.13
44,teya,ru,60.07550402413443,89.94583401901667,43.65,71,100,9.06
45,uray,ru,60.668806125016545,64.59463736561338,30.16,97,91,5.68
46,arrifes,pt,38.16030835884311,-26.203057842948596,59.0,77,40,9.17
47,yeppoon,au,-20.433610227730355,154.72635269582946,84.2,51,40,10.29
48,nichinan,jp,31.19534338716143,132.5826188923832,75.2,88,75,4.7
49,port-gentil,ga,-4.299510288885159,2.3020188207388514,78.8,88,75,6.93
50,khrebtovaya,ru,56.138189548335646,104.70634403197971,39.94,76,86,9.19
51,sobolevo,ru,53.20732482711179,152.40666761433573,41.92,90,100,10.58
52,mahebourg,mu,-34.61114153329373,69.48185721752009,80.6,57,75,14.99
53,puerto ayora,ec,-24.153555261960804,-105.23900864061373,66.0,95,96,8.99
54,sault sainte marie,ca,47.27522809293521,-84.23141317122074,38.97,65,90,5.82
55,saskylakh,ru,84.32569771329315,112.80668391890242,6.3,94,8,7.23
56,punta arenas,cl,-80.26117666659776,-109.14035252503433,45.3,75,75,12.75
57,albany,au,-59.61510457198294,117.35837014020933,60.8,67,75,12.75
58,cidreira,br,-42.243774602016074,-36.74638187098347,65.34,88,100,17.96
59,kushima,jp,28.787938914194257,133.07718813878273,73.35,83,75,4.7
60,castro,cl,-43.10086810267622,-84.30542357966804,37.4,93,30,4.7
61,arraial do cabo,br,-36.269208666635606,-30.945845195906145,72.25,86,18,12.66
62,vestmanna,fo,68.23228779695822,-8.397352865655506,32.0,76,56,6.06
63,tasiilaq,gl,78.72375035193997,-35.34047190031748,30.2,86,100,1.12
64,ivanava,by,52.2209267744322,25.361738935826537,47.01,82,63,12.39
65,mecca,sa,23.67484624007865,41.93550482823491,93.56,10,0,8.05
66,khandyga,ru,64.42048897203244,138.64556167568344,21.81,95,100,5.01
67,bengkulu,id,-11.513358334696704,88.40493927983698,79.84,76,100,10.18
68,angoche,mz,-18.211483117151985,40.53193682780528,82.69,58,0,11.23
69,busselton,au,-76.82379802160342,76.22655551539174,69.57,30,7,9.95
70,conroe,us,30.336345329662876,-95.67726723518903,69.22,100,1,3.91
71,qaanaaq,gl,83.39494105671633,-81.83567979199655,20.23,88,98,7.02
72,palora,ec,-2.202822696678794,-76.04262923552461,64.65,95,100,2.46
73,petropavlovsk-kamchatskiy,ru,50.43733516446818,159.51147554241334,51.8,32,0,4.47
74,kodiak,us,53.948067995270804,-148.29796981038695,44.6,63,40,19.46
75,san jose,bo,-18.412748152050995,-61.23833283916221,73.4,88,40,2.24
76,beboto,td,8.138968267787419,16.43272242006867,73.38,83,95,3.33
77,san roque,ph,4.572646725811822,123.5803272490707,89.67,89,75,13.87
78,ponta do sol,cv,25.521027777059047,-33.72757505779458,78.8,78,20,5.82
79,westport,ie,55.444908369912014,-10.69144674851492,44.82,83,100,6.85
80,talnakh,ru,76.17500111109683,93.15791171774208,10.4,92,40,4.47
81,togur,ru,61.04866744223264,83.80262249223324,42.1,74,100,13.24
82,jamestown,sh,-12.617145634788727,2.9252516353800786,59.81,94,68,17.47
83,marshall,us,44.38520586489156,-95.52915791858274,63.82,93,1,4.7
84,east london,za,-59.95366339472457,46.20380045684854,69.8,68,0,11.41
85,sharjah,ae,24.821325201022063,56.56089126116669,85.39,35,0,2.24
86,kavieng,pg,11.307803178788348,151.5187502184483,84.38,68,51,7.16
